kode_user,message,clean_text,severity,predicted_severity
KI3428,Apakah benar sudh masuk kak atas nama Lutfi Fitriani Hanifa,sudh masuk kak nama lutfi fitriani hanifa,1,1
KM0987,Sy mo bayar tagihan soalnya,bayar tagih,1,1
KI1555,Iya admin. Saya ingin mengecek penggunaan yang terhubung ke wifi karena akhir akhir ini kekuatan sinyal internet yang di berikan terlalu lemah,iya admin ecek hubung wifi kuat sinyal internet lemah,1,1
KD1832,bagian mana ka bayar nya,kakak bayar nya,1,1
KI1555,Terimakasih admin 🙏. Untuk kendala yang tidak bisa mengakses router itu kira kira kenapa ya admin ?,terimakasih admin kendala tidak akses router iya admin,1,1
KD1060,Atau sy gak bisa bayar,gak bayar,1,1
KI3262,By tf ya kak by bca,by tf iya kak by bca,1,1
KM0787,Saya pakai cek cctv,pakai cek cctv,1,1
KI3262,Tertulis tagihan tidak di temukan ya kak ?,tulis tagih tidak temu iya kak,1,1
KI2906,Kak ini wifi lemot🙏🏻 Apa bisa minta direstart dari pusat? Karena sudah saya restart modem,kak wifi lambat direstart pusat restart modem,2,2
KM0787,Iya minta tolong aq lupa proses cek melalui browser,iya lupa proses cek browser,1,1
KI3428,Bedanya paket kapten sama superstar apa kk,beda paket kapten superstar kakak,1,1
KI3428,Baik kk . Tp  kok harga pembayarannya tdk muncul ya kk,kakak harga bayar tidak muncul iya kakak,1,1
KI3428,Rumahnya masuk gang kecil sebelah laundry ya kk,rumah masuk gang belah laundry iya kakak,1,1
KI1555,"Itu admin, udah beberapa kali di coba tetap seperti itu tampilan nya",admin coba tampil nya,1,1
KT0426,Masih mati pak,mati,2,2
KI1555,"Baik admin, terimakasih 🙏",admin terimakasih,1,1
KM0787,Cctv standby nyala 24 jam,cctv standby nyala jam,1,1
KI1555,"Selamat siang admin, maaf mengganggu waktu nyan🙏. Saya ingin menyampaikan sedikit keluhan tentang sesuatu pada saat ingin mengakses situs router Huawei di google tidak bisa masuk, kira kira apa solusi yang perlu di lakukan ?? Sekian terimakasih 🙏🏻",selamat siang admin maaf ganggu nyan keluh akses situs router huawei google tidak masuk solusi laku terimakasih,1,1
KI1555,Mohon bantuannya admin 🙏🏻,mohon bantu admin,1,1
KM0441,Brrti hanya bayar 1 BLN pembayaran ya kak,brrti bayar bayar iya kak,1,1
KJ1453,Bukti pembayaran bln okt 2025 kak...,bukti bayar okt kak,1,1
STKI0007,ga di cek ya vidio saya?,ga cek iya vidio,1,1
KT0426,Tetep gak nyala pak,tetep gak nyala,1,1
KM0787,Iya untuk cek wifi sendiri gimana carae,iya cek wifi carae,1,1
KT1895,Mhn info tagihan bulan ini saya pakai VA yang kmrn untuk bca,mohon informasi tagih pakai va bca,1,1
KT1895,"Dear Sobat Kapten,  ID Pelanggan: KT1895 Nama: Bahrur Rosyidi Paket: 20 Mbps Jatuh Tempo: 26 September 2025 Total Tagihan: Rp 328.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000017099 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻",dear sobat kapten id langgan nama bahrur rosyidi paket mbps jatuh tempo september total tagih rp ppn biaya layan nomor va bca bayar rekening bank bca note butuh metode bayar alfamart indomaret bank sila instal aplikasi kapten naratel september notifikasi kirim aplikasi tidak whatsapp nomor va bca tidak ubah unduh aplikasi kapten naratel play store pandu instalasi aplikasi pandu bayar aplikasi alami kendala instalasi bayar sila hubung customer service kapten naratel terima kasih,1,1
KD1752,"Yth. Pelanggan,  Berikut informasi terkait layanan yang terdaftar:  ID Pelanggan   : KD1752 Paket Layanan  : 5 Harga Paket   : Rp 120.000  Metode pembayaran yang tersedia:  BRI VA Jumlah  : Rp 122.500 Nomor  : 57889330007332268  Alfamart Jumlah  : Rp 125.000 Kode   : 1001451991072  Indomaret Jumlah  : Rp 125.000 Kode   : 451991073  Nama Terdaftar: Andy Irawan Suparno",yth langgan informasi kait layan daftar id langgan kd paket layan harga paket rp metode bayar sedia bri va rp nomor alfamart rp kode indomaret rp kode nama daftar andy irawan suparno,1,1
KM2294,"Mau tanya, kenapa hari ini koneksi jaringan wifinya lambat sekali?",koneksi jaring wifinya lambat,2,2
JT1132,selamat siang kak. wifinya apa ada gangguan sistem. di rumah saya wifinya tidak bisa,selamat siang kak wifinya ganggu sistem rumah wifinya tidak,2,2
"KI1382, KI3430","Baru saya masuk kan hari ini,tyt tidak bisa",masuk tyt tidak,1,1
KI1735,Kok lemot ya,lambat iya,2,2
KT2170,Klo jadi pasang kpn kak? Besok pagi bisa?,pasang kak besok pagi,1,1
KM0887,Mau bayar tagihan kok tidak bisa ya,bayar tagih tidak iya,1,1
KI0555,"Kak, mau bayar tp knp nomer va bca nya kadaluarsa ya?",kak bayar nomer va bca nya kadaluarsa iya,1,1
"KT0356, KT1515",Gangguan kah mbak?,ganggu mbak,2,2
KP1072,Mohon info pemakian saya kan 5mpbs skrng kalau naik kr 10 atau 15 berapa ya perbulan,mohon informasi maki mpbs skrng kr iya bulan,1,1
KP1332,"Saya juga lupa mbk, minta tolong di cek saja mbk",lupa mbk cek mbk,1,1
KP2279,mau tanya untuk wifi atas nama mifzam fahmi rafsanjani pembayaran perpanjangan di tanggal berapa kak,wifi nama mifzam fahmi rafsanjani bayar panjang tanggal kak,1,1
KI1758,Kenapa wifi saya lemot yaa,wifi lambat yaa,2,2
KP2279,apakah bisa di cek dari situ kak,cek situ kak,1,1
KP1602,Selamat sore Cm mau bilang kok wifinya lemot banget ya 🙈,selamat sore cm bilang wifinya lambat banget iya,2,2
KM2706,Kak apa ada gangguan ya ko agak lemot inrernet nya 🙏🏻,kak ganggu iya ko lambat inrernet nya,2,2
JT1221,Oke saya cek dlu,oke cek,1,1
JT1221,Setelah bayar baru akan diproses pemasangan?,bayar proses pasang,1,1
"KD0722, KD1136",Nmbh biaya berapa,nmbh biaya,1,1
KJ2184,Dan konfirmasi alamat,konfirmasi alamat,1,1
KM3095,Kakak wifiku mati,kakak wifiku mati,2,2
KM3095,Uda tak restart msh mati,uda tidak restart mati,2,2
KT1479,berarti gak bisa pasang Lagi ya,gak pasang iya,1,1
KM3095,Td msh nyala,nyala,1,1
KI1758,Sudah semua..tapi masih lemot,lambat,2,2
"JT0537, JT1223",WiFi saya keadaan saat ini tidak ada koneksi.. apa Maslah pembayaran iuran belum saya bayar ya..,wifi tidak koneksi mas bayar iur belum bayar iya,1,1
KP1530,Kak mau bayar tagihan,kak bayar tagih,1,1
"JT0537, JT1223","Dear Sobat Kapten,  Mohon maaf atas ketidaknyamanannya, atas gangguan yang mengakibatkan internet mati.    *kami akan memberikan tambahan Masa aktif 1 Hari untuk Pelanggan yang terdampak.*  ID Pelanggan : *JT0537*   Paket Layanan : 5 Mbps   Tanggal Expiration : *27 Oktober 2025* Menjadi *28 Oktober 2025*  Kami informasikan kini layanan sudah kembali normal. Terima kasih atas kesabaran dan kesetiaan Sobat Kapten.   Terima kasih 🙏🙏🙏    CS Kapten",dear sobat kapten mohon maaf ketidaknyamanannya ganggu akibat internet mati tambah aktif langgan dampak id langgan jt paket layan mbps tanggal expiration oktober oktober informasi layan normal terima kasih sabar setia sobat kapten terima kasih cs kapten,2,1
JT0141,Berapa yg hrs saya bayar,bayar,1,1
JT0141,Minta tagihannya ya mbak segera akan saya bayar,tagih iya mbak bayar,1,1
KM1486,SDH bayar kak,sdh bayar kak,1,1
KT1479,"iya berhenti langganan aja nanti, noveber akhir saya pindahnya",iya henti langgan noveber pindah,4,1
KM3242,Ini saya coba pilih yg bawahnya kak... Alhamdulillah Uda bisa masuk kak,coba pilih bawah kak alhamdulillah uda masuk kak,1,1
STKI0016,Sudah di pasang kak,pasang kak,1,1
STKI0019,Paket Super star itu apa juga berupa Wifi??,paket super star wifi,1,1
"KD0603, KD0957","tagihan untuk bulan oktober ID Pelanggan KD0957 atas nama Aqshal Rizqullah, apa bisa dibantu ?",tagih oktober id langgan kd nama aqshal rizqullah bantu,1,1
STKI0019,"Ok mbak, nanti saya infokan lebih lanjut ya. Klo seandainya jadi pasang. Mungkin hari Senin. Karena saya pas di sby",ok mbak info iya anda pasang pas sby,1,1
KI0837,Mau bayar ga bisa Buka pembayaran udah heng,bayar ga buka bayar heng,1,1
KP1915,mohon info apa ada gangguan jaringan wifi ya?,mohon informasi ganggu jaring wifi iya,2,2
KT0615,Modem nya mati,modem nya mati,2,2
KI3162,Paket 100Mpbs Rp 150.000.-   itu paket apa???..apa harus beli  modem..300ribu...? Mode turbo aktif apa berbayar..??? .,paket mpbs rp paket beli modem mode turbo aktif bayar,1,1
KM1834,Wifinya lemot bgt,wifinya lambat banget,2,2
KI0837,Waktu VA nya itu berapa detik Sebelum berubah lagi?,va nya detik ubah,1,1
KM0270,"Selamat siang, mhn bantuannya donk,utk jaringan internet kapten naratel di rumah sy _sangat lemot_, apakah jaringan Naratel sedang trouble? knp ya,kualitas internet kapten naratel semakin lama semakin menurun? Terima Kasih.  Dwi Wasis Pramono-KM0270 Pesona Candi Permai 3 blok V-30",selamat siang mohon bantu donk jaring internet kapten naratel rumah lambat jaring naratel trouble iya kualitas internet kapten naratel turun terima kasih dwi wasis pramono pesona candi permai blok v,2,2
KD1854,Lemot banget 5 mbps gabisa buat game,lambat banget mbps gabisa game,2,2
JT1221,Tunai bs ya? Soalnya flipnya agak trouble,tunai iya flipnya trouble,2,2
JT1221,Saya bs TF via BNI,tf via bni,1,1
JT1221,Setelah bayar segera saya infokan,bayar info,1,1
KJ1006,Internetnya sy kok lemot,internetnya lambat,2,2
"KD0575, KD0894",Beberapa hari ini yg lemot sekali,lambat,2,2
STKT0025,Kak....konfirmasi utk yg tadi siang....  Sudah bisa login tv nya,kak konfirmasi siang login tv nya,1,1
KD1854,Pembayaran bulan depan langsung bayar yang itu saya,bayar bayar,1,1
KD1854,Minta tolong karena di rumah saya ini lemot kapten naratelnya,rumah lambat kapten naratelnya,2,2
KJ1407,Maaf wf saya ada gangguan mohon solusinya,maaf wf ganggu mohon solusi,2,2
KM3907,Ada gangguan tah kah,ganggu tah,2,2
KM3907,Saya mau bayar wafi,bayar wafi,1,1
KJ1407,Sampek jam berapa nunggu nya kak,sampek jam nunggu nya kak,1,1
KJ1407,Wa nya baru masuk,wa nya masuk,1,1
KP2279,ohh jadi kalau saya bayar dan naikan sekarang untuk bulan depan dan seterusnya akan di bayarkan di tanggal 25 ya?,ohh bayar naik bayar tanggal iya,1,1
KT1888,Sudah sy coba bayar dr mandiri sy tidak bisa,coba bayar dr mandiri tidak,1,1
KJ1104,Tdak kak sama2 di jalan tirto utomo landungsari,tdak kak jalan tirto utomo landungsari,2,2
KP0338,Kenapa sering trouble yah kak,trouble yah kak,2,2
STKI0019,"Kalau malam ini saya daftar, besuk Minggu bisa langsung di Pasang ga?",malam daftar besuk pasang ga,1,1
JT0891,"Ini td sy bayar tagihan, minta tolong dicekkan 🙏🏼 terimakasih karena WiFi blum bisa digunakan",bayar tagih cek terimakasih wifi belum,1,1
KM0139,"m-Transfer : BERHASIL Tanggal: 29 Oct 2025  07:54:47 Ke:  SPARKPAY   15412000000000001789 Total Tagihan: Rp 114,000.00  Biaya Termasuk PPN (Bila ada) PT. BANK CENTRAL ASIA TBK. MENARA BCA - JAKARTA PUSAT NPWP : 0013084496091000",m transfer hasil tanggal oct sparkpay total tagih rp biaya ppn pt bank central asia tbk menara bca jakarta pusat npwp,1,1
KI3386,gk ada kode bayar dan harus buat aplikasi dulu,gk kode bayar aplikasi,1,1
STKP0053,Untuk pembayaran nya sekarang apa nunggu pasang kak,bayar nya nunggu pasang kak,1,1
KT2055,Ini bukti saya sudah bayar Kok  masih belum bisa  ya,bukti bayar belum iya,1,1
"KD0603, KD0957","selamat pagi, min.  untuk proses pembayaran perpanjangan layanan wifi untuk ID KD0957 atas nama Aqshal Rizqullah sudah dilakukan ya.  ini bukti pembayaran dan juga sudah tersampaikan di nomor CS di apps.  bisa dibantu cek ya, terimakasih",selamat pagi min proses bayar panjang layan wifi id kd nama aqshal rizqullah iya bukti bayar nomor cs apps bantu cek iya terimakasih,1,1
STKT0026,mohon di cek yaa,mohon cek yaa,1,1
JT0407,Harga berapa kak bulanannya ?,harga kak bulan,1,1
JT0407,Saya sudah pasang di 5 mbps dapat Kecepatan Up/Down 10/5 mbps Ini mau tanya kira2 kalau 10 mbps Dapat Up/Down berapa ?,pasang mbps cepat up down mbps mbps up down,1,1
KT1549,Dengan cara di cabut ya kak,pergi iya kak,4,1
KT1882,Apa ini masih berlaku kak Soalnya mau transfer sekarang kak,laku kak transfer kak,1,1
KM0441,Pasang skrg apa bisa,pasang skrg,1,1
JT0407,Jadi berapa tagihannya untuk bulan depan ?,tagih,1,1
JT0407,"Sebentar kak, requestnya saya bulan depan bayar 175.000 kak",sebentar kak requestnya bayar kak,1,1
JT0407,Setau saya sistemnya pasca bayar kak,tau sistem pasca bayar kak,1,1
JT0407,Jadi untuk tagihan selanjut tagihannya berapa yah kak ?,tagih lanjut tagih yah kak,1,1
KM3079,Mau bayar tagihan,bayar tagih,1,1
KJ0805,KJ 0805 apakah sudah bayar wifi kapten,kj bayar wifi kapten,1,1
"JT0537, JT1223",Yang bermasalah ini mas. Yang saya pasang baru.. kode ID JT 1223.. atas nama saya juga.. dipasang kemarin Selasa sore.. paket 15 mbPs..,masalah mas pasang kode id jt nama pasang sore paket mbps,1,1
"JT0537, JT1223",Sinyalnya ngak stabil mas.. mohon di bantu di cek kembali..,sinyal ngak stabil mas mohon bantu cek,1,1
JT0106,Saya bayar pakek virtual account bca kok nggak bisa apa bisa pakek bri,bayar pakek virtual account bca tidak pakek bri,1,1
KJ1921,"saya kasih informasi juga, di daerah sini dari warga denger2 menurut himbaun lurah kabarnya ada tim khusus yang mau membersihkan kabel internet yang tidak memiliki ijin dan penempatan kabel tidak rapi akan di putus tanpa pemberitahuan.  ya saya kawatir itu pengaruh pada internet wifi dibeberapa rumah warga.  mungkin bisa di cek kembali terkait ini. karena saya pernah menemui orang tanpa seragam memutus kabel entah itu dari pihak kelurahan atau pihak provider lain. saya kurang paham juga terkait ini.   itu aja info dari saya",kasih informasi daerah denger himbaun lurah kabar tim bersih kabel internet tidak milik ijin tempat kabel tidak rapi putus pemberitahuan iya kawatir pengaruh internet wifi beberapa rumah cek kait temu seragam putus kabel lurah provider paham kait informasi,1,2
KJ1649,Sya uda bayar wifi belom ya,sya uda bayar wifi belum iya,1,1
JT0407,Apa langsung bayar aja ?,bayar,1,1
KM3924,"Maaf kak ribet saya kalau download aplikasi2, lebih nyaman seperti sebelumnya dapat tagihan tiap bulan lengkap dengan pembayaran via apapun",maaf kak ribet download aplikasi nyaman tagih lengkap bayar via apa,1,1
KT2170,Bayar tunai ke teknisi gmn kak?,bayar tunai teknisi gmn kak,1,1
KT2170,Mau tanya pasang wif daerah sumbersekar bisa?,pasang wif daerah sumbersekar,1,1
KT2170,Sm promo ini ga ada pilihannya kak?,sm promo ga pilih kak,1,1
KT2170,Brrti ini bayar buat paket nya ya?,brrti bayar paket nya iya,1,1
KT2170,Jadi pas pasang?,pas pasang,1,1
KT2170,Sy bayar nya,bayar nya,1,1
KM2554,Sekarang klo mau tidak ada biaya tambahan di suruh bayar datang ke kantor,tidak biaya tambah suruh bayar kantor,1,1
KM2554,Saya sudah 3 tahun dulu selalu bayar sesuai tagihan tanpa ada biaya tambahan,bayar tagih biaya tambah,1,1
KJ0805,"Tadi saya sudah bayar, masak belum masuk pembayaran",bayar masak belum masuk bayar,1,1
KJ0805,"Alhamdulillah sudah masuk bayar, ini malam cs yg jawab apa terbuat dari robot AI, jam kerja biasanya sampai jam 5 sore",alhamdulillah masuk bayar malam cs buat robot ai jam kerja jam sore,1,1
KM0589,RTO terus bikin males 😊,rto bikin males,2,2
KM0589,"Mana besok waktunya perpanjang pula, jadi males kalo begini 😊 kecewa parah setelah 3 taun pake naratel",besok panjang males kecewa parah pakai naratel,3,1
KM0589,Buat yutuban 144p aja buffering gini 🤣👍 mantab naratel akhir² ini top banget,yutuban p buffering gin mantab naratel top banget,2,2
KP0136,Udah bayar lewat aplikasi,bayar aplikasi,1,1
KM2554,Itu artinya naratel ga mau rugi. biaya² yg di tanggung naratel dibebankan rata ke pelanggan dalam bentuk biaya layanan,naratel ga rugi biaya tanggung naratel beban langgan bentuk biaya layan,3,1
KT1977,"kak, mau bayar wifi",kak bayar wifi,1,1
KP0136,Transfer lewat sea bank,transfer sea bank,1,1
STKD0005,coba cek kak yang menyambung brp orang,coba cek kak sambung,1,1
KM0589,"Lemot banget pula, tiap 3 menit RTO, tiap 5 menit disconnect 😊",lambat banget menit rto menit disconnect,2,2
KI2560,"halo, wifi saya gangguan",halo wifi ganggu,2,2
KI2415,Sekarang malah los koneksi,los koneksi,2,2
JT0982,"Dear Sobat Kapten,  Mohon maaf atas ketidaknyamanannya, atas gangguan yang mengakibatkan internet mati.    *kami akan memberikan tambahan Masa aktif 1 Hari untuk Pelanggan yang terdampak.*  ID Pelanggan : *JT0982*   Paket Layanan : 5 Mbps   Tanggal Expiration : *29 Oktober 2025* Menjadi *30 Oktober 2025*  Kami informasikan kini layanan sudah kembali normal. Terima kasih atas kesabaran dan kesetiaan Sobat Kapten.   Terima kasih 🙏🙏🙏    CS Kapten",dear sobat kapten mohon maaf ketidaknyamanannya ganggu akibat internet mati tambah aktif langgan dampak id langgan jt paket layan mbps tanggal expiration oktober oktober informasi layan normal terima kasih sabar setia sobat kapten terima kasih cs kapten,2,1
JT0982,"coba cek ini kak ,, apa benar? Ini masih sampai tgl 30 ,,",coba cek kak tanggal,1,1
KJ2184,Kak apa ga bisa bayar dari sini,kak ga bayar,1,1
KI1630,Tolong paket byu-nya segera diperpanjang ya.,paket byu nya panjang iya,1,1
KM1918,Ka maaf g bisa masuk terus🙏,kakak maaf g masuk,1,1
JT0481,"Internet saya yg di temboro mati,apa waktunya bayar?",internet temboro mati bayar,1,1
KM1918,Mau masuk aplikasi y g bs terus ka.lupa kata sandi,masuk aplikasi g kakak lupa sandi,1,1
KT1943,Sudah dicabut juga tetap merah,cabut merah,4,1
KI2979,sdh di bayar ya,sdh bayar iya,1,1
KJ2184,Susah juga kak kalo harus bayar nya,susah kak bayar nya,1,1
KM1918,Cara bayar y gmn ka tetus,bayar gmn kakak tetus,1,1
JT1042,Sinyal full TPI kok lemot,sinyal full lambat,2,2
"KM2300, KP1622",Next tgl 10 saya bayar yg satu nya kak. Bisa di bantu kayak gini lg ya,tanggal bayar nya kak bantu kayak gin iya,1,1
KM1667,Untuk biaya pemasangan pertama berapa kak,biaya pasang kak,1,1
KP1009,Td sudah bayar dikantor,bayar kantor,1,1
KP2279,"ini sudah dicabut, didiemin terus di masukin lagi kak",cabut didiemin masuk kak,4,1
KP1591,Td sdh ke indomart.Tny disana tdk bs utk bayar naratel.tdk ada menu,sdh indomart tny sana tidak bayar naratel tidak menu,1,1
KP2279,punya kakak saya 5 Mbps tapi tidak pernah gangguan kak,kakak mbps tidak ganggu kak,2,1
KM3398,Klo bayar ke kantornya bisa pake Qris dana gak kak?,bayar kantor pakai qris dana gak kak,1,1
"KM2300, KP1622",Ada tulisan tagihan telah kadaluarsa,tulis tagih kadaluarsa,1,1
"KM2300, KP1622",Besok batas akhir saya bayar,besok batas bayar,1,1
"KM2300, KP1622",Saya malas sekali masuk akun,malas masuk akun,1,1
KJ2483,Maaf mau tnya.. utk jaringan wifi apakah ada trouble,maaf tnya jaring wifi trouble,2,2
KT0244,"Malam...  Mau menanyakan Di router wifi nyala lampu indikator merah, sudah saya restart tpi tetap nyala, dan tidak dpt terkoneksi",malam router wifi nyala lampu indikator merah restart nyala tidak koneksi,1,1
KT0314,Kok naratel selalu gangguan bos,naratel ganggu bos,2,2
KT0314,Masa selalu gangguan,ganggu,2,2
KT0314,Selalu gangguan bos,ganggu bos,2,2
KD1693,Kak saya baru saja bayar biaya bulanan ya. Maaf kelupaan kalau sudah tanggal 8 skrg,kak bayar biaya bulan iya maaf lupa tanggal skrg,1,1
KT0314,1 bulan bisa 7 x gangguan malah lebih,x ganggu,2,2
"KD0449, KD1314","Dear Sobat Kapten,  ID Pelanggan: KD1314 Nama: Inol Ertadiyansah Paket: 5 Mbps Jatuh Tempo: 06 Oktober 2025 Total Tagihan: Rp 123.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000014266 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻",dear sobat kapten id langgan kd nama inol ertadiyansah paket mbps jatuh tempo oktober total tagih rp ppn biaya layan nomor va bca bayar rekening bank bca note butuh metode bayar alfamart indomaret bank sila instal aplikasi kapten naratel september notifikasi kirim aplikasi tidak whatsapp nomor va bca tidak ubah unduh aplikasi kapten naratel play store pandu instalasi aplikasi pandu bayar aplikasi alami kendala instalasi bayar sila hubung customer service kapten naratel terima kasih,1,1
KT1950,Ada promo apa aja,promo,1,1
KT1950,Bisa lihat daftar harga nya kk,lihat daftar harga nya kakak,1,1
"KD0486, KD1017","Saya kelupaan bayar, tolong internetnya diaktifkan lagi segera ya",lupa bayar internetnya aktif iya,1,1
JT0547,"Dear Sobat Kapten,  Mohon maaf atas ketidaknyamanannya, atas gangguan yang mengakibatkan internet mati.    *kami akan memberikan tambahan Masa aktif 1 Hari untuk Pelanggan yang terdampak.*  ID Pelanggan : *JT0547*   Paket Layanan : 10 Mbps   Tanggal Expiration : *10 November 2025* Menjadi *11 November 2025*  Kami informasikan kini layanan sudah kembali normal. Terima kasih atas kesabaran dan kesetiaan Sobat Kapten.   Terima kasih 🙏🙏🙏    CS Kapten",dear sobat kapten mohon maaf ketidaknyamanannya ganggu akibat internet mati tambah aktif langgan dampak id langgan jt paket layan mbps tanggal expiration november november informasi layan normal terima kasih sabar setia sobat kapten terima kasih cs kapten,2,2
JT0547,jatuh tempo gk jadi ditambah sehari sesuai pemberitahuan pd saat hbs gangguan kmrn ya .. ktnya dr tgl : *10 November 2025 menjadi 11 November 2025*,jatuh tempo gk tambah hari pemberitahuan hbs ganggu iya ktnya dr tanggal november november,2,1
KT0314,Jam berapa kesininya,jam kesini,1,1
KP1915,selamat pagi. mohon info ini wifi gk bs diakses. apa waktunya bayar ya? kok gda tagihan,selamat pagi mohon informasi wifi gk akses bayar iya gda tagih,1,1
KP1915,berarti mulai skrg utk tagihan hrs check manual berkala di apk ya?,skrg tagih check manual kala apk iya,1,1
"KJ0602, KT1984",Minta no rek saja  atau no va ny biar saya bayar,rek va ny biar bayar,1,1
"KJ0602, KT1984",Saya sudah download aplikasi  tapi utk masuk selalu nunggu no OTP.  Tapi ngak dikirim kirim,download aplikasi masuk nunggu otp ngak kirim kirim,1,1
KT1950,"Bisa dibantu untuk mengisi datanya terlebih dahulu Kak 😊 Nama:Romi Nur rahayu No. Telepon:083896433319 Alamat:jl.telagawarna blok E -22,tlogomas ( Blkg Kampus UNITRI )  RT/RW : 007/006 Kelurahan: TLOGOMAS Tahu Kapten Naratel dari Mana: Fb markrtplace paket wifi yang diambil : Mau yg 100Mbps -150/bulan ( 1user 10 perangkat )  Mohon dikirimkn foto ktp dan foto depan lokasi rumah yang akan dipasang wifi 😊",bantu isi data kak nama romi nur rahayu telepon alamat jl telagawarna blok e tlogomas blkg kampus unitri rw lurah tlogomas kapten naratel fb markrtplace paket wifi ambil mbps user perangkat mohon dikirimkn foto ktp foto lokasi rumah pasang wifi,1,1
KT1566,hbis ini saya transfer,hbis transfer,1,1
JT0547,"Dear Sobat Kapten,  Mohon maaf atas ketidaknyamanannya, atas gangguan yang mengakibatkan internet mati.    *kami akan memberikan tambahan Masa aktif 1 Hari untuk Pelanggan yang terdampak.*  ID Pelanggan : *JT0547*   Paket Layanan : 10 Mbps   Tanggal Expiration : *11 November 2025* Menjadi *12 November 2025*  Kami informasikan kini layanan sudah kembali normal. Terima kasih atas kesabaran dan kesetiaan Sobat Kapten.   Terima kasih 🙏🙏🙏    CS Kapten",dear sobat kapten mohon maaf ketidaknyamanannya ganggu akibat internet mati tambah aktif langgan dampak id langgan jt paket layan mbps tanggal expiration november november informasi layan normal terima kasih sabar setia sobat kapten terima kasih cs kapten,2,2
KT1566,untuk VA tagihan yg ini ya,va tagih iya,1,1
KT1566,bisa minta untuk tagihan yg sekarang kak,tagih kak,1,1
KT1566,biasanya dikasih VA tagihan,kasih va tagih,1,1
KT1950,Saya mau ini tapi bayar perbulan,bayar bulan,1,1
"KM2901, KM2902, KM3618",Sesuai tagihan ya,tagih iya,1,1
KJ0812,Bedanya apa ya kak sama paket reguler,beda iya kak paket reguler,1,1
"KD0260, KD1692, KD1803",Minta norek Tagihan KD1692,norek tagih kd,1,1
KM3967,Bentar ini baru tak nyala kan,sebentar tidak nyala,1,1
KM3967,Alhamdulih udah nyala,alhamdulih nyala,1,1
KM3967,Kemarin udah saya bayar kok ngak nyala,bayar ngak nyala,1,1
KT1950,Apa ini harus bayar dahulu,bayar,1,1
KT1950,Itu  harus bayar per 3 bulan y kk apa tidak bisa per bulan,bayar kakak tidak,1,1
KT1950,"Iya sudah saya tf ,,🙏🙏",iya tf,1,1
KM0136,Apakah ada gangguan wifi inggih di KM0136,ganggu wifi inggih,2,2
KT0314,1 bulan bisa 7 kali gangguan,ganggu,2,2
KT1566,barusan bisa cek,barusan cek,1,1
KT0314,Padahal setiap bulannya sudah saya bayar,bulan bayar,1,1
KD0714,Saya mau bayar wifi lewat BCA M-banking,bayar wifi bca m banking,1,1
GI0077,kak cek alamat jl selat sunda v blok d5/48 lesanpuro kedungkandang,kak cek alamat jl selat sunda v blok lesanpuro kedungkandang,1,1
GI0077,bisa pasang kah?,pasang,1,1
"KJ0602, KT1984","No sdh mati,",sdh mati,2,1
KJ2487,Kak.. Atas nama NABILA yg pemasangan hari ini.. Uang ny ada d saya.. Saya TF kmn?,kak nama nabila pasang uang ny tf kmn,1,1
KJ2487,Teknisi yg pasang ini..,teknisi pasang,1,1
KI2278,"Ma,af saya mau bayar ko, bisa lewat aplikasi",ma af bayar ko aplikasi,1,1
