message,kode_user,cleaning_text,case_folding,tokenizing,normalization,remove_stopwords,stemming,clean_text,severity
Mohon info .. admin yg ini hrs byr brp ( lupa),KP2134,Mohon info admin yg ini hrs byr brp lupa ,mohon info admin yg ini hrs byr brp lupa ,"['mohon', 'info', 'admin', 'yg', 'ini', 'hrs', 'byr', 'brp', 'lupa']","['mohon', 'informasi', 'admin', 'yang', 'ini', 'harus', 'bayar', 'berapa', 'lupa']","['mohon', 'informasi', 'admin', 'bayar', 'lupa']","['mohon', 'informasi', 'admin', 'bayar', 'lupa']",mohon informasi admin bayar lupa,1
Untuk awal pasang yg 5mbps trs kedepannya kalo mau upgrade bisa ya?,KP2368,Untuk awal pasang yg mbps trs kedepannya kalo mau upgrade bisa ya ,untuk awal pasang yg mbps trs kedepannya kalo mau upgrade bisa ya ,"['untuk', 'awal', 'pasang', 'yg', 'mbps', 'trs', 'kedepannya', 'kalo', 'mau', 'upgrade', 'bisa', 'ya']","['untuk', 'awal', 'pasang', 'yang', 'mbps', 'terus', 'kedepannya', 'kalau', 'mau', 'upgrade', 'bisa', 'iya']","['pasang', 'mbps', 'kedepannya', 'upgrade', 'iya']","['pasang', 'mbps', 'depan', 'upgrade', 'iya']",pasang mbps depan upgrade iya,1
Halo kak skrg lemot lagi internetnya,JT1052,Halo kak skrg lemot lagi internetnya,halo kak skrg lemot lagi internetnya,"['halo', 'kak', 'skrg', 'lemot', 'lagi', 'internetnya']","['halo', 'kak', 'skrg', 'lambat', 'lagi', 'internetnya']","['halo', 'kak', 'skrg', 'lambat', 'internetnya']","['halo', 'kak', 'skrg', 'lambat', 'internetnya']",halo kak skrg lambat internetnya,2
Kalo mau bayar pertma dimana ya,KP2099,Kalo mau bayar pertma dimana ya,kalo mau bayar pertma dimana ya,"['kalo', 'mau', 'bayar', 'pertma', 'dimana', 'ya']","['kalau', 'mau', 'bayar', 'pertma', 'dimana', 'iya']","['bayar', 'pertma', 'iya']","['bayar', 'pertma', 'iya']",bayar pertma iya,1
Kalo mau bayar ke Indomaret apa bisa,KP2099,Kalo mau bayar ke Indomaret apa bisa,kalo mau bayar ke indomaret apa bisa,"['kalo', 'mau', 'bayar', 'ke', 'indomaret', 'apa', 'bisa']","['kalau', 'mau', 'bayar', 'ke', 'indomaret', 'apa', 'bisa']","['bayar', 'indomaret']","['bayar', 'indomaret']",bayar indomaret,1
Ini ada tagihan sebesar 122.500,JT1204,Ini ada tagihan sebesar ,ini ada tagihan sebesar ,"['ini', 'ada', 'tagihan', 'sebesar']","['ini', 'ada', 'tagihan', 'sebesar']",['tagihan'],['tagih'],tagih,1
Maaf apa gangguan ya,KI2778,Maaf apa gangguan ya,maaf apa gangguan ya,"['maaf', 'apa', 'gangguan', 'ya']","['maaf', 'apa', 'gangguan', 'iya']","['maaf', 'gangguan', 'iya']","['maaf', 'ganggu', 'iya']",maaf ganggu iya,2
Modem koq nyala merah,KI2778,Modem koq nyala merah,modem koq nyala merah,"['modem', 'koq', 'nyala', 'merah']","['modem', 'kok', 'nyala', 'merah']","['modem', 'nyala', 'merah']","['modem', 'nyala', 'merah']",modem nyala merah,1
"kak ini kok lampu indikator warna merah nya nyala ya, gangguan kah",KN0504,kak ini kok lampu indikator warna merah nya nyala ya gangguan kah,kak ini kok lampu indikator warna merah nya nyala ya gangguan kah,"['kak', 'ini', 'kok', 'lampu', 'indikator', 'warna', 'merah', 'nya', 'nyala', 'ya', 'gangguan', 'kah']","['kak', 'ini', 'kok', 'lampu', 'indikator', 'warna', 'merah', 'nya', 'nyala', 'iya', 'gangguan', 'kah']","['kak', 'lampu', 'indikator', 'warna', 'merah', 'nya', 'nyala', 'iya', 'gangguan']","['kak', 'lampu', 'indikator', 'warna', 'merah', 'nya', 'nyala', 'iya', 'ganggu']",kak lampu indikator warna merah nya nyala iya ganggu,2
Ini yg di daerah kumis kucing sedanh trouble kah sinyalnya?,KI1628,Ini yg di daerah kumis kucing sedanh trouble kah sinyalnya ,ini yg di daerah kumis kucing sedanh trouble kah sinyalnya ,"['ini', 'yg', 'di', 'daerah', 'kumis', 'kucing', 'sedanh', 'trouble', 'kah', 'sinyalnya']","['ini', 'yang', 'di', 'daerah', 'kumis', 'kucing', 'sedanh', 'trouble', 'kah', 'sinyalnya']","['daerah', 'kumis', 'kucing', 'sedanh', 'trouble', 'sinyalnya']","['daerah', 'kumis', 'kucing', 'sedanh', 'trouble', 'sinyal']",daerah kumis kucing sedanh trouble sinyal,2
"Dear Pelanggan Kapten Qaishum Nadhilah,  ID Pelanggan   : KI1628 Nama Pelanggan  : Qaishum Nadhilah Paket Layanan   : 10  Terima kasih atas kepercayaan Anda menggunakan layanan kami.",KI1628,Dear Pelanggan Kapten Qaishum Nadhilah ID Pelanggan KI Nama Pelanggan Qaishum Nadhilah Paket Layanan Terima kasih atas kepercayaan Anda menggunakan layanan kami ,dear pelanggan kapten qaishum nadhilah id pelanggan ki nama pelanggan qaishum nadhilah paket layanan terima kasih atas kepercayaan anda menggunakan layanan kami ,"['dear', 'pelanggan', 'kapten', 'qaishum', 'nadhilah', 'id', 'pelanggan', 'ki', 'nama', 'pelanggan', 'qaishum', 'nadhilah', 'paket', 'layanan', 'terima', 'kasih', 'atas', 'kepercayaan', 'anda', 'menggunakan', 'layanan', 'kami']","['dear', 'pelanggan', 'kapten', 'qaishum', 'nadhilah', 'id', 'pelanggan', 'ki', 'nama', 'pelanggan', 'qaishum', 'nadhilah', 'paket', 'layanan', 'terima', 'kasih', 'atas', 'kepercayaan', 'anda', 'menggunakan', 'layanan', 'kami']","['dear', 'pelanggan', 'kapten', 'qaishum', 'nadhilah', 'id', 'pelanggan', 'ki', 'nama', 'pelanggan', 'qaishum', 'nadhilah', 'paket', 'layanan', 'terima', 'kasih', 'kepercayaan', 'layanan']","['dear', 'langgan', 'kapten', 'qaishum', 'nadhilah', 'id', 'langgan', 'ki', 'nama', 'langgan', 'qaishum', 'nadhilah', 'paket', 'layan', 'terima', 'kasih', 'percaya', 'layan']",dear langgan kapten qaishum nadhilah id langgan ki nama langgan qaishum nadhilah paket layan terima kasih percaya layan,1
"Kak mhn bantuannya, trouble","KI1485, KI3257",Kak mhn bantuannya trouble,kak mhn bantuannya trouble,"['kak', 'mhn', 'bantuannya', 'trouble']","['kak', 'mohon', 'bantuannya', 'trouble']","['kak', 'mohon', 'bantuannya', 'trouble']","['kak', 'mohon', 'bantu', 'trouble']",kak mohon bantu trouble,2
koq lemot buka facebok,KI1931,koq lemot buka facebok,koq lemot buka facebok,"['koq', 'lemot', 'buka', 'facebok']","['kok', 'lambat', 'buka', 'facebok']","['lambat', 'buka', 'facebok']","['lambat', 'buka', 'facebok']",lambat buka facebok,2
Sampe di putus layanan sy,KM0941,Sampe di putus layanan sy,sampe di putus layanan sy,"['sampe', 'di', 'putus', 'layanan', 'sy']","['sampai', 'di', 'putus', 'layanan', 'saya']","['putus', 'layanan']","['putus', 'layan']",putus layan,2
koq gini saya sudah bayar tadi siang,KI1931,koq gini saya sudah bayar tadi siang,koq gini saya sudah bayar tadi siang,"['koq', 'gini', 'saya', 'sudah', 'bayar', 'tadi', 'siang']","['kok', 'gini', 'saya', 'sudah', 'bayar', 'tadi', 'siang']","['gini', 'bayar', 'siang']","['gin', 'bayar', 'siang']",gin bayar siang,1
Mohon ma'af mau melaporkan wifi saya gak bisa koneh  Lampu merahnya nyala kedip,KN0275,Mohon ma af mau melaporkan wifi saya gak bisa koneh Lampu merahnya nyala kedip,mohon ma af mau melaporkan wifi saya gak bisa koneh lampu merahnya nyala kedip,"['mohon', 'ma', 'af', 'mau', 'melaporkan', 'wifi', 'saya', 'gak', 'bisa', 'koneh', 'lampu', 'merahnya', 'nyala', 'kedip']","['mohon', 'ma', 'af', 'mau', 'melaporkan', 'wifi', 'saya', 'gak', 'bisa', 'koneh', 'lampu', 'merahnya', 'nyala', 'kedip']","['mohon', 'ma', 'af', 'melaporkan', 'wifi', 'gak', 'koneh', 'lampu', 'merahnya', 'nyala', 'kedip']","['mohon', 'ma', 'af', 'lapor', 'wifi', 'gak', 'koneh', 'lampu', 'merah', 'nyala', 'kedip']",mohon ma af lapor wifi gak koneh lampu merah nyala kedip,1
Kak inet ki0326 los nyala merah sudah di restart tetap sama,KI0326,Kak inet ki los nyala merah sudah di restart tetap sama,kak inet ki los nyala merah sudah di restart tetap sama,"['kak', 'inet', 'ki', 'los', 'nyala', 'merah', 'sudah', 'di', 'restart', 'tetap', 'sama']","['kak', 'inet', 'ki', 'los', 'nyala', 'merah', 'sudah', 'di', 'restart', 'tetap', 'sama']","['kak', 'inet', 'ki', 'los', 'nyala', 'merah', 'restart']","['kak', 'inet', 'ki', 'los', 'nyala', 'merah', 'restart']",kak inet ki los nyala merah restart,1
"Kak,saya sudah bayar kenapa wifinya merah ya",KI1694,Kak saya sudah bayar kenapa wifinya merah ya,kak saya sudah bayar kenapa wifinya merah ya,"['kak', 'saya', 'sudah', 'bayar', 'kenapa', 'wifinya', 'merah', 'ya']","['kak', 'saya', 'sudah', 'bayar', 'kenapa', 'wifinya', 'merah', 'iya']","['kak', 'bayar', 'wifinya', 'merah', 'iya']","['kak', 'bayar', 'wifinya', 'merah', 'iya']",kak bayar wifinya merah iya,1
Oh gitu. Saya kirain saya yang belum bayar .. internet nya di off kan..,"JT0537, JT1223",Oh gitu Saya kirain saya yang belum bayar internet nya di off kan ,oh gitu saya kirain saya yang belum bayar internet nya di off kan ,"['oh', 'gitu', 'saya', 'kirain', 'saya', 'yang', 'belum', 'bayar', 'internet', 'nya', 'di', 'off', 'kan']","['oh', 'gitu', 'saya', 'kirain', 'saya', 'yang', 'belum', 'bayar', 'internet', 'nya', 'di', 'off', 'kan']","['kirain', 'belum', 'bayar', 'internet', 'nya', 'off']","['kirain', 'belum', 'bayar', 'internet', 'nya', 'off']",kirain belum bayar internet nya off,1
Sudah saya bayar 🙏,JT0618,Sudah saya bayar ,sudah saya bayar ,"['sudah', 'saya', 'bayar']","['sudah', 'saya', 'bayar']",['bayar'],['bayar'],bayar,1
"Malam kak, maaf setelah laporan saya kpn hari itu, besoknya kembali loading terus malah makin parah, buka YouTube lewat laptop sangat susah (karena loading terus) 🙏🙏🙏 mohon maaf",JT0217,Malam kak maaf setelah laporan saya kpn hari itu besoknya kembali loading terus malah makin parah buka YouTube lewat laptop sangat susah karena loading terus mohon maaf,malam kak maaf setelah laporan saya kpn hari itu besoknya kembali loading terus malah makin parah buka youtube lewat laptop sangat susah karena loading terus mohon maaf,"['malam', 'kak', 'maaf', 'setelah', 'laporan', 'saya', 'kpn', 'hari', 'itu', 'besoknya', 'kembali', 'loading', 'terus', 'malah', 'makin', 'parah', 'buka', 'youtube', 'lewat', 'laptop', 'sangat', 'susah', 'karena', 'loading', 'terus', 'mohon', 'maaf']","['malam', 'kak', 'maaf', 'setelah', 'laporan', 'saya', 'kapan', 'hari', 'itu', 'besoknya', 'kembali', 'loading', 'terus', 'bahkan', 'makin', 'parah', 'buka', 'youtube', 'lewat', 'laptop', 'sangat', 'susah', 'karena', 'loading', 'terus', 'mohon', 'maaf']","['malam', 'kak', 'maaf', 'laporan', 'besoknya', 'loading', 'parah', 'buka', 'youtube', 'laptop', 'susah', 'loading', 'mohon', 'maaf']","['malam', 'kak', 'maaf', 'lapor', 'besok', 'loading', 'parah', 'buka', 'youtube', 'laptop', 'susah', 'loading', 'mohon', 'maaf']",malam kak maaf lapor besok loading parah buka youtube laptop susah loading mohon maaf,3
"WiFi mati, apa ada perbaikan",JT0624,WiFi mati apa ada perbaikan,wifi mati apa ada perbaikan,"['wifi', 'mati', 'apa', 'ada', 'perbaikan']","['wifi', 'mati', 'apa', 'ada', 'perbaikan']","['wifi', 'mati', 'perbaikan']","['wifi', 'mati', 'baik']",wifi mati baik,2
koq malah mati skrg,KI1931,koq malah mati skrg,koq malah mati skrg,"['koq', 'malah', 'mati', 'skrg']","['kok', 'bahkan', 'mati', 'skrg']","['mati', 'skrg']","['mati', 'skrg']",mati skrg,2
Wilayah ketawanggede gangguan kah mbk/mas,KI2758,Wilayah ketawanggede gangguan kah mbk mas,wilayah ketawanggede gangguan kah mbk mas,"['wilayah', 'ketawanggede', 'gangguan', 'kah', 'mbk', 'mas']","['wilayah', 'ketawanggede', 'gangguan', 'kah', 'mbk', 'mas']","['wilayah', 'ketawanggede', 'gangguan', 'mbk', 'mas']","['wilayah', 'ketawanggede', 'ganggu', 'mbk', 'mas']",wilayah ketawanggede ganggu mbk mas,2
Sinyalnya makin lama makin sering gangguan,KI2639,Sinyalnya makin lama makin sering gangguan,sinyalnya makin lama makin sering gangguan,"['sinyalnya', 'makin', 'lama', 'makin', 'sering', 'gangguan']","['sinyalnya', 'makin', 'lama', 'makin', 'sering', 'gangguan']","['sinyalnya', 'gangguan']","['sinyal', 'ganggu']",sinyal ganggu,2
Selamat sore kk Internet nya mati kk,KI3031,Selamat sore kk Internet nya mati kk,selamat sore kk internet nya mati kk,"['selamat', 'sore', 'kk', 'internet', 'nya', 'mati', 'kk']","['selamat', 'sore', 'kakak', 'internet', 'nya', 'mati', 'kakak']","['selamat', 'sore', 'kakak', 'internet', 'nya', 'mati', 'kakak']","['selamat', 'sore', 'kakak', 'internet', 'nya', 'mati', 'kakak']",selamat sore kakak internet nya mati kakak,2
Masak tiap hari gangguannya sampek lama,KI2639,Masak tiap hari gangguannya sampek lama,masak tiap hari gangguannya sampek lama,"['masak', 'tiap', 'hari', 'gangguannya', 'sampek', 'lama']","['masak', 'tiap', 'hari', 'gangguannya', 'sampek', 'lama']","['masak', 'gangguannya', 'sampek']","['masak', 'ganggu', 'sampek']",masak ganggu sampek,2
Info tagihan idpel k12289,"KI1699, KI2288, KD1334",Info tagihan idpel k,info tagihan idpel k,"['info', 'tagihan', 'idpel', 'k']","['informasi', 'tagihan', 'idpel', 'ke']","['informasi', 'tagihan', 'idpel']","['informasi', 'tagih', 'idpel']",informasi tagih idpel,1
INFO TAGIHAN KI2288,"KI1699, KI2288, KD1334",INFO TAGIHAN KI,info tagihan ki,"['info', 'tagihan', 'ki']","['informasi', 'tagihan', 'ki']","['informasi', 'tagihan', 'ki']","['informasi', 'tagih', 'ki']",informasi tagih ki,1
Kak mau bayar,KT2044,Kak mau bayar,kak mau bayar,"['kak', 'mau', 'bayar']","['kak', 'mau', 'bayar']","['kak', 'bayar']","['kak', 'bayar']",kak bayar,1
Ini internet nya los,JT1045,Ini internet nya los,ini internet nya los,"['ini', 'internet', 'nya', 'los']","['ini', 'internet', 'nya', 'los']","['internet', 'nya', 'los']","['internet', 'nya', 'los']",internet nya los,2
"Mau tanya internetku yg alamat Mpanjaitan , joyo utomo sudah bayar blom ya?","KJ2032, KI2558, KI2722, KI2839, JT0679",Mau tanya internetku yg alamat Mpanjaitan joyo utomo sudah bayar blom ya ,mau tanya internetku yg alamat mpanjaitan joyo utomo sudah bayar blom ya ,"['mau', 'tanya', 'internetku', 'yg', 'alamat', 'mpanjaitan', 'joyo', 'utomo', 'sudah', 'bayar', 'blom', 'ya']","['mau', 'tanya', 'internetku', 'yang', 'alamat', 'mpanjaitan', 'joyo', 'utomo', 'sudah', 'bayar', 'blom', 'iya']","['internetku', 'alamat', 'mpanjaitan', 'joyo', 'utomo', 'bayar', 'blom', 'iya']","['internetku', 'alamat', 'mpanjaitan', 'joyo', 'utomo', 'bayar', 'blom', 'iya']",internetku alamat mpanjaitan joyo utomo bayar blom iya,1
Untuk estimasi perbaikannya berapa lama ya kak,JT1045,Untuk estimasi perbaikannya berapa lama ya kak,untuk estimasi perbaikannya berapa lama ya kak,"['untuk', 'estimasi', 'perbaikannya', 'berapa', 'lama', 'ya', 'kak']","['untuk', 'estimasi', 'perbaikannya', 'berapa', 'lama', 'iya', 'kak']","['estimasi', 'perbaikannya', 'iya', 'kak']","['estimasi', 'baik', 'iya', 'kak']",estimasi baik iya kak,1
"Permisi kak ,, internet gangguan kah kak?",JT0982,Permisi kak internet gangguan kah kak ,permisi kak internet gangguan kah kak ,"['permisi', 'kak', 'internet', 'gangguan', 'kah', 'kak']","['permisi', 'kak', 'internet', 'gangguan', 'kah', 'kak']","['permisi', 'kak', 'internet', 'gangguan', 'kak']","['permisi', 'kak', 'internet', 'ganggu', 'kak']",permisi kak internet ganggu kak,2
tadi lampu yg merqh mati hidup mati hidup trs saya copot kabel hitam tetep aja,KI1931,tadi lampu yg merqh mati hidup mati hidup trs saya copot kabel hitam tetep aja,tadi lampu yg merqh mati hidup mati hidup trs saya copot kabel hitam tetep aja,"['tadi', 'lampu', 'yg', 'merqh', 'mati', 'hidup', 'mati', 'hidup', 'trs', 'saya', 'copot', 'kabel', 'hitam', 'tetep', 'aja']","['tadi', 'lampu', 'yang', 'merqh', 'mati', 'hidup', 'mati', 'hidup', 'terus', 'saya', 'copot', 'kabel', 'hitam', 'tetep', 'saja']","['lampu', 'merqh', 'mati', 'mati', 'copot', 'kabel', 'hitam', 'tetep']","['lampu', 'merqh', 'mati', 'mati', 'copot', 'kabel', 'hitam', 'tetep']",lampu merqh mati mati copot kabel hitam tetep,2
Mau bayar tagihan via mbanking BCA kok ga bisa ya...,KT0611,Mau bayar tagihan via mbanking BCA kok ga bisa ya ,mau bayar tagihan via mbanking bca kok ga bisa ya ,"['mau', 'bayar', 'tagihan', 'via', 'mbanking', 'bca', 'kok', 'ga', 'bisa', 'ya']","['mau', 'bayar', 'tagihan', 'via', 'mbanking', 'bca', 'kok', 'ga', 'bisa', 'iya']","['bayar', 'tagihan', 'via', 'mbanking', 'bca', 'ga', 'iya']","['bayar', 'tagih', 'via', 'mbanking', 'bca', 'ga', 'iya']",bayar tagih via mbanking bca ga iya,1
halo kak sy mau bayar wifi adakah kode nya,KM1944,halo kak sy mau bayar wifi adakah kode nya,halo kak sy mau bayar wifi adakah kode nya,"['halo', 'kak', 'sy', 'mau', 'bayar', 'wifi', 'adakah', 'kode', 'nya']","['halo', 'kak', 'saya', 'mau', 'bayar', 'wifi', 'adakah', 'kode', 'nya']","['halo', 'kak', 'bayar', 'wifi', 'adakah', 'kode', 'nya']","['halo', 'kak', 'bayar', 'wifi', 'ada', 'kode', 'nya']",halo kak bayar wifi ada kode nya,1
Selamat siang kak.. Maaf mau laporan WIFI nya ada gangguan 🙏,KN0556,Selamat siang kak Maaf mau laporan WIFI nya ada gangguan ,selamat siang kak maaf mau laporan wifi nya ada gangguan ,"['selamat', 'siang', 'kak', 'maaf', 'mau', 'laporan', 'wifi', 'nya', 'ada', 'gangguan']","['selamat', 'siang', 'kak', 'maaf', 'mau', 'laporan', 'wifi', 'nya', 'ada', 'gangguan']","['selamat', 'siang', 'kak', 'maaf', 'laporan', 'wifi', 'nya', 'gangguan']","['selamat', 'siang', 'kak', 'maaf', 'lapor', 'wifi', 'nya', 'ganggu']",selamat siang kak maaf lapor wifi nya ganggu,2
kak kalau mau diupgrade ke 15mbps berapa ya perbulannya?,KI0760,kak kalau mau diupgrade ke mbps berapa ya perbulannya ,kak kalau mau diupgrade ke mbps berapa ya perbulannya ,"['kak', 'kalau', 'mau', 'diupgrade', 'ke', 'mbps', 'berapa', 'ya', 'perbulannya']","['kak', 'kalau', 'mau', 'diupgrade', 'ke', 'mbps', 'berapa', 'iya', 'perbulannya']","['kak', 'diupgrade', 'mbps', 'iya', 'perbulannya']","['kak', 'diupgrade', 'mbps', 'iya', 'bulan']",kak diupgrade mbps iya bulan,1
Kak..mau bayar via Alfa mart kok TDK BS nggeh,KM1610,Kak mau bayar via Alfa mart kok TDK BS nggeh,kak mau bayar via alfa mart kok tdk bs nggeh,"['kak', 'mau', 'bayar', 'via', 'alfa', 'mart', 'kok', 'tdk', 'bs', 'nggeh']","['kak', 'mau', 'bayar', 'via', 'alfa', 'mart', 'kok', 'tidak', 'bisa', 'nggeh']","['kak', 'bayar', 'via', 'alfa', 'mart', 'tidak', 'nggeh']","['kak', 'bayar', 'via', 'alfa', 'mart', 'tidak', 'nggeh']",kak bayar via alfa mart tidak nggeh,1
Maaf apakah ada gangguan untuk jaringan wifi di daerah sekitar tol? (soto ayam lamongan cabang oro2 dowo),JT0217,Maaf apakah ada gangguan untuk jaringan wifi di daerah sekitar tol soto ayam lamongan cabang oro dowo ,maaf apakah ada gangguan untuk jaringan wifi di daerah sekitar tol soto ayam lamongan cabang oro dowo ,"['maaf', 'apakah', 'ada', 'gangguan', 'untuk', 'jaringan', 'wifi', 'di', 'daerah', 'sekitar', 'tol', 'soto', 'ayam', 'lamongan', 'cabang', 'oro', 'dowo']","['maaf', 'apakah', 'ada', 'gangguan', 'untuk', 'jaringan', 'wifi', 'di', 'daerah', 'sekitar', 'tol', 'soto', 'ayam', 'lamongan', 'cabang', 'oro', 'dowo']","['maaf', 'gangguan', 'jaringan', 'wifi', 'daerah', 'tol', 'soto', 'ayam', 'lamongan', 'cabang', 'oro', 'dowo']","['maaf', 'ganggu', 'jaring', 'wifi', 'daerah', 'tol', 'soto', 'ayam', 'lamongan', 'cabang', 'oro', 'dowo']",maaf ganggu jaring wifi daerah tol soto ayam lamongan cabang oro dowo,2
Apakah lagi trouble nggeh,KM1610,Apakah lagi trouble nggeh,apakah lagi trouble nggeh,"['apakah', 'lagi', 'trouble', 'nggeh']","['apakah', 'lagi', 'trouble', 'nggeh']","['trouble', 'nggeh']","['trouble', 'nggeh']",trouble nggeh,2
Iya kak sudah normal tapi YouTube di tv masih sering ngelag,KI0326,Iya kak sudah normal tapi YouTube di tv masih sering ngelag,iya kak sudah normal tapi youtube di tv masih sering ngelag,"['iya', 'kak', 'sudah', 'normal', 'tapi', 'youtube', 'di', 'tv', 'masih', 'sering', 'ngelag']","['iya', 'kak', 'sudah', 'normal', 'tapi', 'youtube', 'di', 'tv', 'masih', 'sering', 'ngelag']","['iya', 'kak', 'normal', 'youtube', 'tv', 'ngelag']","['iya', 'kak', 'normal', 'youtube', 'tv', 'ngelag']",iya kak normal youtube tv ngelag,2
Ini anak saya sudah saya suruh bayar ke kantornya mbk,KP0281,Ini anak saya sudah saya suruh bayar ke kantornya mbk,ini anak saya sudah saya suruh bayar ke kantornya mbk,"['ini', 'anak', 'saya', 'sudah', 'saya', 'suruh', 'bayar', 'ke', 'kantornya', 'mbk']","['ini', 'anak', 'saya', 'sudah', 'saya', 'suruh', 'bayar', 'ke', 'kantornya', 'mbk']","['anak', 'suruh', 'bayar', 'kantornya', 'mbk']","['anak', 'suruh', 'bayar', 'kantor', 'mbk']",anak suruh bayar kantor mbk,1
kalau ada paket yang lebih cepat saya dikabari ya. saya pelanggan setia lo,GJ0019,kalau ada paket yang lebih cepat saya dikabari ya saya pelanggan setia lo,kalau ada paket yang lebih cepat saya dikabari ya saya pelanggan setia lo,"['kalau', 'ada', 'paket', 'yang', 'lebih', 'cepat', 'saya', 'dikabari', 'ya', 'saya', 'pelanggan', 'setia', 'lo']","['kalau', 'ada', 'paket', 'yang', 'lebih', 'cepat', 'saya', 'dikabari', 'iya', 'saya', 'pelanggan', 'setia', 'kamu']","['paket', 'cepat', 'dikabari', 'iya', 'pelanggan', 'setia']","['paket', 'cepat', 'kabar', 'iya', 'langgan', 'setia']",paket cepat kabar iya langgan setia,1
Berapa lama ya,EDJT0004,Berapa lama ya,berapa lama ya,"['berapa', 'lama', 'ya']","['berapa', 'lama', 'iya']",['iya'],['iya'],iya,1
biaya paketnya perbulan berapa kak?,KI0760,biaya paketnya perbulan berapa kak ,biaya paketnya perbulan berapa kak ,"['biaya', 'paketnya', 'perbulan', 'berapa', 'kak']","['biaya', 'paketnya', 'perbulan', 'berapa', 'kak']","['biaya', 'paketnya', 'perbulan', 'kak']","['biaya', 'paket', 'bulan', 'kak']",biaya paket bulan kak,1
Baik.. tp utk tagihan nya sdh terbayar ya kak?,KM2229,Baik tp utk tagihan nya sdh terbayar ya kak ,baik tp utk tagihan nya sdh terbayar ya kak ,"['baik', 'tp', 'utk', 'tagihan', 'nya', 'sdh', 'terbayar', 'ya', 'kak']","['baik', 'tapi', 'untuk', 'tagihan', 'nya', 'sdh', 'terbayar', 'iya', 'kak']","['tagihan', 'nya', 'sdh', 'terbayar', 'iya', 'kak']","['tagih', 'nya', 'sdh', 'bayar', 'iya', 'kak']",tagih nya sdh bayar iya kak,1
Wifi dijln mayjen sungkono apa masih gangguan,JT0891,Wifi dijln mayjen sungkono apa masih gangguan,wifi dijln mayjen sungkono apa masih gangguan,"['wifi', 'dijln', 'mayjen', 'sungkono', 'apa', 'masih', 'gangguan']","['wifi', 'dijln', 'mayjen', 'sungkono', 'apa', 'masih', 'gangguan']","['wifi', 'dijln', 'mayjen', 'sungkono', 'gangguan']","['wifi', 'dijln', 'mayjen', 'sungkono', 'ganggu']",wifi dijln mayjen sungkono ganggu,2
Karena dirumah kok masih los,JT0891,Karena dirumah kok masih los,karena dirumah kok masih los,"['karena', 'dirumah', 'kok', 'masih', 'los']","['karena', 'dirumah', 'kok', 'masih', 'los']","['dirumah', 'los']","['rumah', 'los']",rumah los,2
Sdh sy bayar tp blm tersambung,KI2583,Sdh sy bayar tp blm tersambung,sdh sy bayar tp blm tersambung,"['sdh', 'sy', 'bayar', 'tp', 'blm', 'tersambung']","['sdh', 'saya', 'bayar', 'tapi', 'belum', 'tersambung']","['sdh', 'bayar', 'belum', 'tersambung']","['sdh', 'bayar', 'belum', 'sambung']",sdh bayar belum sambung,1
Karna saya ngajak org banyak buat pasang kapten,JT0866,Karna saya ngajak org banyak buat pasang kapten,karna saya ngajak org banyak buat pasang kapten,"['karna', 'saya', 'ngajak', 'org', 'banyak', 'buat', 'pasang', 'kapten']","['karena', 'saya', 'ngajak', 'org', 'banyak', 'buat', 'pasang', 'kapten']","['ngajak', 'org', 'pasang', 'kapten']","['ngajak', 'org', 'pasang', 'kapten']",ngajak org pasang kapten,1
Saya sdh bayar,KM2161,Saya sdh bayar,saya sdh bayar,"['saya', 'sdh', 'bayar']","['saya', 'sdh', 'bayar']","['sdh', 'bayar']","['sdh', 'bayar']",sdh bayar,1
