message,kode_user,severity,severity_manual
Mau bayar wifi,KT0776,1,1
Mba wifi saya masih gabisa ya,KP2051,0,4
Untuk wifinya udah gak ada lampu merah tapi gak tergubung di hp,KP2051,0,1
Udah aku restart tapi tetep gak bisa,KP2051,0,1
Biasanya kan langsung otomatis terhubung kalo bisa,KP2051,0,3
Kak mau tanyak klk mau pasang wifi lagi tapi ktp sama apakah bisa ?,"KI3184, STKN0003, KN0626",1,4
Untuk rekening BRI sudah d tutup ya,KJ1904,0,3
Seumpama tanpa aplikasi apakah bisa.?,"KI3184, STKN0003, KN0626",0,1
Oh gk bisa ya berarti kak,"KI3184, STKN0003, KN0626",0,1
Layanan kok masih lemot,KM3652,2,4
Besok aja deh kak tak pinjem hp saudara saya klk bisa,"KI3184, STKN0003, KN0626",0,4
Mau masangin di rumah ibu saya soal nya,"KI3184, STKN0003, KN0626",0,1
"keseringan eror Capek aku, kmaren dari tadi Sampek skrg",KM2097,0,1
Hanya tertentu saja...,KM3652,0,1
Bener kan ... No.VA sesuai WA...,KM2049,0,1
Baca di ig yg bayar 3 bulan gratis modem itu yg gimana kak.?,"KI3184, STKN0003, KN0626",1,1
Ya sudah.... Nnti kalo ada kendala lagi saya laporkan untuk menjadi pertimbangan lagi,KM3652,0,3
Untuk harganya brapa yaa,KD1783,0,1
"Iya, kakaknya baru ya di sini biasnya itu cepat nggak banyak pertanyaan seperti ini, sy sudah sering kok ka, mengajukan sweetie ini, tapi nggak seribet ini 🙏🏻",KT0172,0,1
Bisa mnta no VA BRI,KJ1904,0,3
Bertele2 skali ya km itu,KP2154,0,2
Di perumahan puri indah beji,KD1783,0,1
No tujuan y,KP0240,0,2
Iya kak sudah di coba,KT0533,0,1
Terus gimana ini ka,KN0619,0,2
Gak jd kak,,0,1
Oke kak kalau begitu,STKN0002,0,1
"kak untuk selanjutnya mungkin bisa menghubungi nomor ini ya, soalnya saya sudah pindah",KI1688,0,1
ok kak makasih,,0,2
Terima kasih kak,KP1989,0,4
Udah kami donload cuma di mana cari kode tagihan,,1,1
Benar data nya,,0,1
ini bayar wifinya lewat mana kak,KT1162,1,3
iya cepat ya kak mau bayar skrng soalnya,KT1162,1,1
Mohon dikonfirmasikan kak,KT1685,0,4
Perlu di restart ulangbta mba?,KP2051,0,2
Saya pakai aplikasi byond BSI,KM2166,0,4
klau di lokasi ini apa bs superstar?,KP1658,0,2
maaf kak beda nya,KD1824,0,1
Baik bgt cs yg skrng wkwkw,KI3140,0,1
ini tak copot dulu colokan wifinya kak?,KT1456,0,1
Ktp pegawai saya di lapas,KP2154,0,1
Dia ga bw hp,KP2154,0,4
Sementara itu aja kak,KD0142,0,1
Knp pembayaran lewat BRI VA selalu berubah2,KI2415,0,2
Ktp saya dlu gmn,KP2154,0,4
Mas ko gk bisa masi merahgmn ya mas,KM3746,0,3
Untuk pembayaran di kantor terakhir JM BRP kak,JT0668,0,1
Nanti tuker pake ktp pegawai saya,KP2154,0,1
Koneksi wifi q sering muncul tidak ada koneksi data,KP1851,0,1
"Bilang o, Di nomor 8161902021 tidak bisa",KI0640,0,1
Kapten aja. Buat d rumah kok,,0,1
Boleh tanya klo mo pasang berapa sekarang,KJ0815,1,3
Sore....lagi ada trouble?,KN0047,2,1
Untuk pembayaran sampe JM BRP ya,JT0668,0,1
Signal wifi kok lemot lagi  .... ada apa lagi ini,KM0817,2,4
"Selamat pagi kak. Maaf, mau melaporkan lagi kalo wifinya ada indikator merah. Sudah dilakukan restart dengan cabut colok modem tetap gabisa",KJ1515,4,1
Kak internet nya emg lemot gini ya,,2,2
Min mau bayar kok GK bisa ya,KJ2488,1,2
Email belum terdaftar,KT0680,0,1
Ooh engga kak,,0,3
KJ1515 atas nama Maskurniawati,KJ1515,0,1
Oke..sya cb lg,KM2166,0,1
Kak mau bayar bln ini,KJ2488,1,1
Utk pembayaran link nya mana kak,KJ1202,0,1
Baik kak. Terimakasih banyak,KJ1515,0,1
"Sdh dibayar kak, pemasangan dijadwalkan sore ini?",KP1658,0,1
Ini cctv saya juga belum terhubung dari kemarin,KP2051,0,1
Yg ini pake data,KP0333,0,1
Masih gabisa mbaaa,KP2051,0,1
Jl Kumis kucing,,0,2
itu harus punya modem sendiri?,KP1658,0,1
kodenya berubah tiap waktu atau bagaimana ya?,,0,2
Va BRI skr brp saya Transfer bolak balik salah terus,KP0919,1,3
"Kalau untuk modemnya berarti harus sedia sendiri ya,, tidak dipinjami kayak paket yang normal lainnya",JT0515,1,1
Kak kalau bayar melalui kantor apakah bisa?,JT0986,1,1
ini pakai bni kak,KM0187,0,1
Halo selamat pagi,KJ1446,0,1
Pembayarannya tetap 120.000 ya kak? Atau bagaimana?,JT0986,0,2
No va tidak tersedia,KP0919,0,2
Sudah jalan 3 hari lo ini mba gak bisa bisa sampe sekarang,KP2051,0,1
Indikatornya tetep nyala kyk gini,KP2051,1,3
Aku restart sama aja,KP2051,0,1
Jadi tiap bln ganti VA y min,KJ2488,0,4
Halo kak Fayza.. saya transfer ke re ini 👇.. kok ndak bisa ya,KJ1446,1,3
cara restat nya bagaimana kak,JT0672,0,2
oh dibatasi ya,KP1658,0,1
Ok ditunggu ya...,KM3636,0,4
Kak ini mau bayar rekening BRI nya kok g bisa ya,KP1502,1,1
Trimakasih sdh bisa kak,KP1502,0,3
Berarti naik ya..,KJ1446,0,1
Kalau yg pakek paket superstar,KD1783,1,1
166.500 naik jadi 169.500,KJ1446,0,4
"Mau tanya kapten naratel,.. wifi di rumah kok mati..?",,2,1
Koreksi 3000 adminnya,KJ1446,0,1
JL Hasan mundi desa gununggangsir,,0,1
"Pakek yg 30 Mbps min, harganya 130 yaa min per bulannya?",KD1783,0,1
Internetnya trouble kah? Daerah sudimoro,KN0047,2,1
ok saya coba lagi,GJ0102,0,2
halo kak untuk info pembayaran bisa chat wa kemana ya,KJ1757,0,1
Kalau dari BCA?,KJ1446,0,4
Ia. Saya tunggu.,KT2043,0,1
"Oalaah okee min, bentar kalau gitu",KD1783,0,2
100 Mbps bisa min?,KD1783,0,4
Tidak ada. Terima kasih.,KJ1446,0,3
Maksudnya gmn min? Brarti gak bisa yaa min,KD1783,0,1
Cover area krebetsenggrong bululawang?,,0,1
Jdi paketan ama modem nya 300 rbu ka,,0,3
"oke, terima kasih🙏",KM1989,0,4
Kenapa layanan tambah buruk aja NARATEL....,KI0724,3,4
"Kalau yg ini pakek paket yg 10, total yg harus saya bayar brapa min? 175 rb yaa min",KD1783,1,1
Sdh kakak ...terima kasih atas bantuannya...,,0,4
"selamat pagi kak, apakah boleh diinfokan untuk pembayaran virtual melalui BCA? 🙏🏻",,0,1
Sdh bs wifinya yg di timur kodim🙏,KP1136,0,1
Ok trims 🙏,KP1136,0,2
Saya mau bayar wifi kak,KP1024,1,3
Kalau pake no.reg yg kemarin² g bisa?,KM2861,0,2
Dan apa ada nomor rekening bri utk pembayaran,,0,2
Yg 5 Mbps aja kak,KT2074,0,1
"Sdah kak,selanjutnya gimana ya?",KT0680,0,2
Gubernur: fyber net,,0,1
Jln.Anjasmoro X / 7,KP1136,0,3
Pesona 4 Ac 22,,0,2
Atas nama siapa pembayaran nya kak,,0,2
Tak kira in bisa hari ini 😃,KT2102,0,1
Bisa ta kak,,0,3
Ini unlimited kan ka,,0,1
Biayanya brp kalau paket 15,,1,1
"Ndak, cuma copas VA",KN0259,0,2
Bukan nama nya signal berkah makmur kak,,0,1
apa kak maksudnya 😃,KI2804,0,3
Sya tangerang poris,,0,1
Mohon diaktifkan lagi sekarang kapten,KM1408,0,1
Baik min saya masang yg paket 10,KD1783,1,3
Selamat siang. Wifinya loading,KJ1607,0,1
Sy sdh daftar yaa,,0,1
Masih sama aja,KP2051,0,1
Halo kak selamat pagi,KN0353,0,1
Sdh tdi kak,KT2074,0,2
No rekening nya yang mana kak,,0,3
"Saya tidak bisa melakukan perpanjangan masa aktif,apakah nomor virtual  berubah??",JT0182,0,2
Iya tidak dapat tersambung wifi,KD1229,0,2
Kl nggak virrual ada kak,,0,2
Klo gk salah,KJ1202,0,1
"iya betul, colokan sudah dipindah2 tapi blm nyala",JT0482,1,1
No rek bca mbsk,KM2447,0,2
Pemasangan nya Skrang min?,KD1783,0,2
Kalau pakai rekening yg ini g bisa kak?,KM2861,0,1
"Hallo kakak selamat pagi, Perkenalkan saya Rangga dari PT Hartelindo Telco Utama distributor untuk perlengkapan FTTH seperti Kabel FO, ONT, ODP, OLT dll izin kakak kami sedang ada di daerah Pasuruan apakah kita bisa melakukan kunjungan ke kantor semoga kedepanya kita bisa kolaborasi untuk pengembangan selanjutnya kakak🙏",,0,2
Kode refealnya brapa min?,KD1783,0,2
Siap kakak ditunggu ya kak terimakasih kak🙏,,0,2
Brarti ini download dulu yaa min,KD1783,0,2
Mohon di kasih  info harganya,KJ0815,0,1
Saya kan pake kapten  naratel,KJ0815,0,3
Landungsari tirto utomo,KJ0815,2,2
Unsuccesfull..apa hrus jam2 tertentu?,KM2166,0,3
Untuk tau nomornya benar diatas nama siapa kak?,KM2861,0,1
ini lo ka dr td minta,"KT1920, KT2091",0,1
Ini kan pembayaran nya saya milih Indomaret min,KD1783,0,1
Mohon bantuannya lagi kak,,0,1
"Mau membayar tagihan via mobile banking bsi , ke rek briva tidak bisa",JT0835,1,2
Dmn min tempat nya,KD1783,0,1
Ini benar kak kalau transaksi nya masih diproses?,KM2861,0,3
sudah saya bayarkan ya min,KI1809,0,2
Udah muncul mba sudah terhubung,KP2051,0,2
No va nya Blmm d krim min,KD1783,0,1
saya mau bayar pakai bank mandiri,KN0278,1,4
Kalau ganti di 10 mbps bagaimana ?,KM2000,0,3
53 saving account not registered,JT0835,0,2
klo misal di awal order paket 100 mbps kemudian di up  jadi 200 mbps apa bisa?,,1,1
Maaf kak kl mbaking pembayaran virtual account tidak bisa kak apa ada nomor lain nya kak,,0,1
Sudah saya hubungi kak Firda nya ya kak🙏,,0,1
Sudah lancar kak,,0,1
Masih Ada Tukang,KM0233,0,2
Sdh lepas pasang lagi,KM3467,1,1
Sudah kak terimakasih banyak ya kak🙏,,0,1
Tagihan internet dibayar kemana skrg kak,KJ1202,1,3
"Wifi-nya bisa digunakan,tetapi lampu indikator  router mati semua",,2,2
"Trus? Kalau terlanjur? Apakah bisa menyusul 2500 nya, bukannya awal 120 ribu aja kak?",KM2861,0,2
Mau bayar wifi,,1,1
Mau bayar  wifi,,1,3
Itu kak sdh q kirim ulang,,0,1
jadi semua chat hilang kak,KT1456,0,2
Atau ganti LG?,KM2861,0,2
"Bukann, buat yg sekarang",KM2861,0,1
Skalian minta link mau ganti paswort,,0,2
Kol blm aktif wifinya kak,,0,4
nomor VA nya sdh ada untuk pembayaran?,KP1658,0,1
Aplikasi nya namanya apa,KD0640,0,3
Ini sdh aktif lagi iya kak maksudnya on,,0,3
Apakah sudah masuk kak?,KM2861,1,2
Min minta kode bayar uda tgl 22 kok blm di kasi tagihan,KP1351,1,1
Siap min jam segitu,KD1783,0,1
Saya lepas malah Wifi-nya hilang,,0,1
Tidak bisa sambung lagi,,0,2
"Tidak ada,cuma itu saja.wifinya sudah tidak bisa sambung lagi.trims",,0,4
Ada biaya pemasangan apa gk,,0,1
Jm berapab waif saya bisa di pakai,KM3746,0,1
Sdh sya bayar,KD0442,1,4
Sudah cukup kk,KJ0815,0,1
"nmr yg didaftarkan bnr 085730205662 ?, barangkali slh ketik",KP1658,0,1
Pembayaran tiap tgl brapa min perbulannya?,KD1783,0,1
Kalo huawei bisa gk kak?,,0,1
Biaya admin koq Doble kak?,KM1486,1,1
Oww seperti itu.. siap kak terima kasih.. sudah sangat jelas,JT0407,0,1
Tanya. Apa bisa sy upgrade 30 mbps?,JT1120,0,1
Gang nya benar,KP1658,0,1
Brp nmr rekeningnya kak,,0,4
Id pelanggan km2511,,0,3
Mau tny ap bs pasang hari ini?,KP1658,1,1
Perumnas bugul permai,KP1658,0,2
Tp rumahnya masih masuk ke timur,KP1658,1,1
Blok i no.45,KP1658,0,1
"Siap min, terimakasih bnyak",KD1783,0,4
Tidak ada min,KD1783,0,3
Ini kan udah,KP2154,0,1
Knp si info nya hrs diulang2,KP2154,0,1
Wi-Fi nya trouble lagi kah?,KM3114,2,4
"Assalamualaikum warahmatullahi wabarokatuh kak, mau tanya utk pasang baru,",,1,4
Baik ditgg infonya kl sdh masuk iya kak,,1,4
"Tidak ada kak, thankyou",JT0986,0,2
Kak untuk pembayaran perpanjang mana ya,KP1348,0,1
Jalan raya Jetis no 118 maskot fitness min,KT2082,0,3
indikator lampu tdk ada yg menyala,JT0482,0,3
Saya klik daftar skrang kok tdk ada form pendaftaran,KT2043,0,1
Apakah promo beli 1 dapat 1 masih ada ..,,1,3
untuk saat ini beberapa HP gak masuk ke internet,,1,1
siap saya tgu,JT0482,0,3
Belum. Langkah2nya gimana?  Maaf saya tinggal dulu sholat jumat. Saya otak-atik sejak tadi kok tdk bisa,KT2043,0,1
maksudnya jumlah device yang conect ke wifi,,0,1
maaf untuk biaya nya brp ya,JT0482,0,1
Yg 5 MBPS,KP1658,0,1
id KP1658 a.n Fitra Wicaksono,KP1658,0,4
K12370 atas nama iswanto,KI2370,0,1
"Ap blh mnta tlg didaftarkan?, datanya sama dg ini 🙏",KP1658,0,1
Kedai Hutan Bambu depan Batu TV,KD0150,0,1
Oke wait kak,KM2861,0,1
"Pertaman kan gagal, trus yg kedua va nya tetap atau ganti?",KM2861,0,2
ID Pel D0194,KD0150,0,1
Sekalian dipasang ya?,KP1658,0,2
Maaf posisi saya msh di Surabaya gak bisa cek,KD0150,1,2
ngelag bgt si connect 1 laptop doang,,2,1
Kyak giniloh mhon maaf cuma sekedar contoh itu yg kmaren bulan yg kmarin maksudnya...🙏🏻🙏🏻,JT0999,0,3
Dulu va BCA pakai ini,KI0724,0,1
Yang 5 mbps,KP0616,0,4
k1243 Anggara Akni,,0,1
Sebelumnya sy pke ini,JT1120,0,1
Saya mau pasang baru knp ga ada tanggapan,KP2154,1,4
Saya ini mau pasang baru,KP2154,1,3
Duh susah bgt komunikasinya,KP2154,0,3
Diganti berapa ya,KJ0767,0,1
Sudah kak terimakasih,,0,1
YA TRS GMN BAYAR KMN KPN DPASANG DR KMRN GA ADA TANGGAPAN JELAS,KP2154,1,3
Bisa dibantu sharelocnya sesuai titik lokasi kak?,KP2154,0,2
Saya ga dtempat mbak,KP2154,0,1
Mau pasang wifi baru,KP2154,1,1
Lapas pasuruan mana,KP2154,0,3
"https://maps.app.goo.gl/jpubykLGjM14E8kKA , benar disini kah untuk sharelocnya?",KP2154,0,3
"Semisal tidak ada modem, ya tidak bisa wifinya",KP2154,0,4
Ga jelas bgt,KP2154,0,3
"mohon maaf kak, ada kesalahan pengiriman notifikasi tagihan🙏🙏🙏",KP2154,1,1
Mohon izin untuk melanjutkan percakapan sebelumnya ya kak,KP2154,0,1
"Maaf mbak nanti saya hubungi lagi , ada berita mendadak !",,0,2
Apakah akan dipasang di lapasnya untuk wifinya kak?,KP2154,0,2
Atau rumah/usaha kakak ada disekitar lapas?,KP2154,0,1
Untuk kebutuhan kantor lapasnya atau untuk umum kak?,KP2154,0,4
Sudah dblg utk lapas utk lapas,KP2154,0,1
"Mohon maaf sebelumnya kak, saya sebagai customer service pasti akan terus melontarkan pertanyaan da harus kakak jawab, agar tidak ada kesalahpahaman dan pengertian nantinya🙏 mohon maaf juga apabila kakak kurang nyaman terkait saya yang banyak tanya",KP2154,0,1
Ya kan sdh djwb mbak,KP2154,0,2
Hp? Laptop? Komputer?,KP2154,0,2
Didlm lapas ya brati utk lapas mana mgkn ada rmh warga ddlm lapas,KP2154,0,1
Ya gatau nanti terserah saya mbak,KP2154,0,3
Saya bantu recomendasikan paket yang cocok dan sesuai nantinya,KP2154,1,1
Silahkan bisa dipilih mau paket reguler atau paket superstar,KP2154,1,1
Super star ini wifi apa modem?,KP2154,0,2
Bagaimana kak adakah hal lain yang bisa saya bantu? ☺️,KP2154,0,4
Modem itu alatnya,KP2154,0,3
Bedanya apa sm reguler?,KP2154,0,4
Dan menjadi hak milik modemnya,KP2154,0,1
Perlu dicek juga redaman disekitar apabila mau berlangganan paket superstar,KP2154,1,1
Jadi yang paket reguler ya kak?,KP2154,1,3
Ya pokoknya wifi bukan modem,KP2154,0,2
Wifi ya butuh modem kak,KP2154,0,4
Modem itu nama alatnya,KP2154,0,1
Yg penting wifi yg biasa di pasang drmh2 itu lo,KP2154,1,1
Cust nya jgn dbuat bingung,KP2154,0,1
Saya cm mau pake biar bs liat cctv,KP2154,0,1
"kak, mohon maaf, mohon di abaikan pesan di atas ya kak",KP2154,0,1
Apa si mksdnya,KP2154,0,1
Saya mau pasang kok malah tny ada hal lain,KP2154,1,1
"baik kak, berdasarkan kebutuhan kakak, kakak ingin intinya bisa di gunakan wifinya ya kak, untuk kebutuhan tersebut saya sarankan paket reguler ya kak",KP2154,1,1
Sementara 3 cctv aja dlu,KP2154,0,1
Bsk2 naik bs kan?,KP2154,0,1
Nggu brp lama?,KP2154,0,1
"Sebentar ya kak, saya konfirmasikan dulu ke tim teknisi, karena memang belum ada informasi lebih lanjut",KP2154,0,1
Bertele2 skali ya km itu,KP2154,0,1
Yaelah ga jelas,KP2154,0,1
"Mohon ditunggu ya kak,informasi dari tim terkait sedang di lakukan pengecekan slot ulang kak",KP2154,0,2
Saya cm mau masang wifi,KP2154,0,2
Bayar ga minta gratisan aja sulitnya minta ampun,KP2154,1,3
Pdhl drmh dinas smua jgn pake wifi ini,KP2154,0,1
"Iya kak,mohon bersabar ya kak,mohon ditunggu hasil dari tim teknisi kami ya kak. Terimakasih",KP2154,0,1
"Halo kak terimakasih telah menunggu, untuk lokasi kakak sudah tercover oleh layanan kami ya kak",KP2154,0,3
"Halo kak, selamat siang, dengan Indri Customer Service Kapten Naratel😊",KP2154,0,1
Bisa upgrade ini? 30 mbps?,JT1120,0,2
Bagaimana kak? Apakah ada yang bisa saya bantu? Apakah kakak sedang ada kendala untuk mendaftarnya?,KP2154,0,1
Untuk biaya instalasi nya free gak kak,KP0616,0,1
Tinggal ganti gt aja ribet amat,KP2154,0,2
Maaf saya baru dirumah,,0,1
Lewat mbak nya aja ga bs?,KP2154,0,1
Min naratel bisa nyambung ke tv juga kan internetnya,KT2082,0,1
Saya di rmh,KM3746,0,1
Kak gimana kok masih trouble,KM3746,2,1
Nomor virtual accountnya?,KJ0767,0,2
Terus melalui apa pembayarannya,KJ0767,0,2
Virtualnya diganti berapa bca BRI bni,KJ0767,0,1
Berlaku harian ya,KJ0767,0,4
Terus penambahan biaya brp per harinya?,KJ0767,0,1
Brp biaya per harinya,KJ0767,0,1
sktr jam 16.00,KP1658,0,3
Bs lgsg pasang hr ini?,KP2154,1,2
Kak klk mau ambil langsung 3 buln lewat aplikasi bisa kah.?,"KI3184, STKN0003, KN0626",0,2
apakah dibatasi ya device nya,,0,1
Kak sama mintak kode referral,"KI3184, STKN0003, KN0626",0,3
Trf ga bs?,KP2154,0,1
iya atasnama Liswahyuni,KP1348,0,2
"Baik, terima kasih",KP1658,0,1
Makanya ak mls download2,KP2154,0,3
Tak trf lgsg pasang,KP2154,1,1
Cctv kmrn tak copot bsk mau tak pasanh lg tp wifi nya pasangen dlu,KP2154,0,1
Tadi kita bayar ko gk bisa mas,KI3290,1,2
Gemana cara bayar nya,KM2447,1,2
Mau nya sy tf PT.SIKNAL,KM2447,1,2
"Sementara cukup, terima kasih",KP1658,0,1
4 hp sama 1 smart  tv kak,KP2279,0,1
Jadi harus diputus dulu ?,JT0407,0,1
Kode promo nya apa kak,"KI3184, STKN0003, KN0626",1,1
"Waduh payah. Murah asal jngn murahan, lemot",KM3344,3,2
Dpt promo ini ya?,KP1658,1,2
Nnti transfer nya ke mn?,KP1658,1,2
"Tunai aja kak untuk sak ini, langsung saya bayar ke teknisi",JT1149,1,4
"iya udh stabil kak,terima kasih🙏",KT0730,0,2
Paket superstar itu bagaimana yah ?,JT0407,1,3
Kebetulan saya sudah berlangganan,JT0407,0,1
Biaya pemasangannya bagaimana ?,JT0407,0,1
Dan sistem pembayarannya bagaimana ?,JT0407,0,1
Untuk masalah modem itu bagaimana yah kak ?,JT0407,0,1
Sebentar jadi untuk biaya awal berapa kak ?,JT0407,0,3
Ndak ada se kak.. modem dari langganan yang lama itu,JT0407,0,1
Oww oke kak.. saya pertimbangkan lagi yah kak... Bulan depan kemungkinan saya siapkan beserta modemnya,JT0407,0,4
Jadi bayar didepan 450k yah kak,JT0407,1,4
Untuk yang 100mbps,JT0407,0,2
Setelah 3 bulan.. saya bisa bayar 1 bulan sekali kan ?,JT0407,1,1
Kenapa g bs lewat rkg mbal,KM2447,0,2
Ndak ada kak.. cuman TV dan PC aja,JT0407,0,1
"Iya kak.....saya sdh tdk berlangganan lagi dgn Naratel .....trimakasih atas layanannya selama ini, semoga sukses selalu",KM0281,0,1
Terimakasih bnyak infonya🙏🏻,"KI1019, KI2965",0,1
Ok siap ingsa alloh besuk boss sehari dua hari lah nanti klau saya sudah bayar BB nya saya ke njenengan ok,JT0999,1,2
Saya bayar nya trf ya,KP2154,1,3
Kak apakah masih bisa transfer sekarang?,STKN0002,1,1
Kode promo nya kok tidak muncul kak,"KI3184, STKN0003, KN0626",1,1
Mohon maaf sebelumnya,STKN0002,0,1
Kan uda blg kmrn,KP2154,0,1
Pertnyaanmu di ulang2 trs,KP2154,0,2
Katanya uda baca chat diatas atas,KP2154,0,2
Ya tp bikin cust capek,KP2154,0,1
Brp trf kmn,KP2154,0,2
Terimakasih info nya,KI3310,0,1
Untuk bayar tagihan apakah bisa lewat bri?,,1,2
Jadi masih bisa transfer lewat tagihan yang kemaren ya kak?,STKN0002,1,1
Ini pake wifi,KP0333,0,2
"Sudah daftar kak,,berhsil gitu",KD1809,0,4
Njiiih2 monggoh trimakasih atas perhatiannya boss...👍🏻👍🏻😁😁🙏🏻🥴,JT0999,0,4
Minta price list pemasangan baru,KP2204,0,1
Bs saya tlp?,KP2154,0,1
saya mau pasang yang 10mbps. besok bisa gak ya?,KP2156,1,1
Ga sat set kacau pelayananmu nol,KP2154,0,4
"Salamat siyang kk mau tanyak apa no rekeningnya ganti ,saya bayar ko di tolak ya 😊🙏",KI0640,1,1
Internetnya lemot gak kak,KD1809,2,1
"td sudah dijadwalkan pemasangan sore ini, apa kodenya tetap 182?",KP1658,0,1
bbrp hr lg br plg,"KT1559, KD1396",0,1
Bisa buat apa aja ya....,,0,1
sabtu atau minggu apa melayani pemasangan?,KP2156,0,4
Katanya dapat bonus turbo,KP1024,0,2
Mas.. Tolong di cek.. Wifi saya mati,KM0227,1,3
Udah di transfer,KI2812,1,1
Ada indikasi lampu merah,KM0227,0,2
Sebelah klinik marfa  aestetic,KM0227,0,1
Malam maaf mengganggu kenapa wifi ibu saya KD1499 A.N MURJONO tidak bisa digunakan?,KD0928,0,1
ka wifinya ko lemot ya,KP1348,2,1
ada 8 orang paling yang 10-12 perangkat yang menyambung,STKD0005,0,4
belom ada di ios ya kak?,KP2156,0,1
Minta tolong aplikasinya bisa digunakan termasuk fasilitas *jumbo* nya biar hasilnya bisa lebih baik,KT2043,0,1
Penghuni kos saya lebih suka provider yg lama,KP1959,0,1
"Selamat siang, untuk pembayaran bulan ini apakah harus melalui rekening bca?",JT0743,0,1
Mohon info wifinya,,0,2
udah cukup ka,KI2804,0,1
Biaya pemasangan baru brp kak,,0,1
Kalau 5 mbps n 10 mbps perbulannya brp,,0,2
"okeii, makasi kaa",KI2804,0,3
"saya udah melakukan pembayaran kak, trs wifi nya udah bisa si , tp kok gada pemberitahuan kya gini ya kak",KI2804,0,3
biasanya ada pemberitahuan ky gitu kak,KI2804,0,2
Minta norek pembayaran,GJ0063,0,1
Aplikasinya katanya tadi belum bisa,KT2043,0,1
Jadwal apa?  Tadi langsung ke kantor utk daftar sekaligus bayar,KT2043,1,2
Teknisinya kok belum kerumah?,KT2043,0,3
Selamat malam kak,,0,1
biaya pemasangan nya gmna,STKD0005,0,2
"oke kak, nanti saya isi di aplikasi. android saya di rumah",KP2156,0,1
mohon maaf mau menanyakan untuk pemasangan atas nama aprilia jadi kapan ya mbak  🙏🏻,KP2152,0,1
Aprillia Nur Huda Yani,KP2152,0,1
yang 100mbps 150k itu bisa mba?,,0,2
Aplikasi turbo nya gimana?,KT2043,0,4
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
Bisa minta s&knya ini kak? Dan apakah beda kak?,JT0391,0,1
Sudah jelas kak 🙏🏻,KM0745,0,1
Baik trimakasih 🙏🏻,KM0745,0,1
Modemnya gak bisa hidup,KD0928,0,1
Kalau semisal saya bayar sekarang installnya di awal bulan apakah bisa kak pakai promonya,JT0391,1,2
Saya sudah instal aplikasi kak,KD1564,0,2
Tiap paket berapa harga nya kak?,KT2134,1,1
Yg buat pass sama login pelanggan kan,STJT0015,0,1
Maaf mengganggu untuk pembayaran nya gmn,GJ0237,0,4
terakhir bayarmya tgl berapa ya ka,KP1348,0,1
Uda di bayar KK masih gak bisa.  Hidup wifinya,KD1642,1,2
"Sudah lancar, tadi ada tehnisi juga cek ke rumah",KN0047,1,1
Ya kk mksih,KI2166,0,2
"Saya dapat info dari iklan, Ada paket apa saja?",,1,2
Kerjaan jadi terganggu,,0,2
Abdurrahman nafis bugul Kidul pasuruan,,0,3
"Tunai kak,ke teknisi",KD1809,0,4
yang bisa nyambung Sampai 10 lebih ga ada kak?,STKD0005,0,1
maksud untuk layanan servis nanti ada biaya apa tidak ke teknisinya,JT0482,0,1
2 bulan lagi ya,JT1120,0,1
Sdh cukup. Trimakasih,JT1120,0,2
kalau paket2 yang lain kak,STKD0005,0,2
Yang ini s&k buy 1 get 1nya apa kak,JT0391,0,2
https://maps.app.goo.gl/YczfnD4audD3zDqq6?g_st=com.google.maps.preview.copy ini ya kak,JT0391,0,1
Itu ada biaya lagi nggak?,KP1024,0,1
Sorry ini bu yani..close aja kak,,0,2
Siap setiap tgl 11 saya byar paketnya klow mau ganti tgl brapanya ya bilang ke kantor,KP1777,0,1
Ini maksudnya bagaimana kak 15 mbps 99.000,,0,1
Ok deal kak pasang hari ini,STJT0015,1,1
Sudah kak 🙏,GJ0237,0,1
Trs udah diganti colokannya tapi tetep mati,KD0928,2,1
Nanti kalo gak bisa tolong di pandu,KP1024,0,1
Baik kak terimakasih,GJ0237,0,4
Baik kak terimakasih,GJ0237,0,1
"Sudah kak,, terimakasih",GJ0237,0,3
Ini langsung bayar di apk kak?,JT1149,1,3
Alhamdulillah maturnuwun sanget🙏🙏🙏🙏,KD0928,0,1
kok masih blm bisa ya kak,KM0673,0,2
Stabil gk kak untuk kecepatannya,,0,2
bos saya mau mintak no rekening atas nama juma Adiy. Mau bayar bulanan,KI2553,1,1
"Iya kak, saya mau melanjutkan perbincangan ini",,0,3
Maaf kak sya masih diluar,KN0079,0,2
lewab web kah daftarnya?,KP2156,0,3
harus download aplikasi kapten naratel dulu?,KP2156,0,1
Iya sudah bayar 1 bulan ini kaka,"KI3184, STKN0003, KN0626",1,2
Samean ksih kode virtual account nya,"KI3184, STKN0003, KN0626",0,1
"Kak, kalau 15 Mbps – Rp99 rb/bulan (1 user, 2 perangkat) itu dipakai 3 perangkat msh bisa?",KP1658,0,1
lebih 1 pun tdk boleh?,KP1658,0,2
"barusan daftar di aplikasi paket kapten, statusnya menunggu verifikasi area",KP1658,1,4
besok siang bisa kak? setelah dhuhur,KP2156,0,4
Atas nama juma Adiy. Jl Merjosari/ joyosaro,KI2553,0,2
Baik kak terima kasih,JT0391,0,3
Kak maaf nanyakk..sejak mati kmren wifi saya agak nyandat terus,KP0350,2,1
"Terimakasih kak,,, sudah selesai",KM3306,0,1
kalo malam gak bisa kan ya?,KP2156,0,3
